id,name,version,url,formats,primary_bundle_name,data_dir_name,data_target_name,warmplace_subdir,launcher_name,desktop_id,desktop_comment,repo_url,extract_dir,category,project_website,dl_within_app,open_source,has_free_version
dpf-plugins,DPF Plugins,1.7,https://github.com/DISTRHO/DPF-Plugins/releases/download/v1.7/DPF-Plugins-v1.7-linux-x86_64.tar.xz,"clap,vst3,lv2",DPF-Plugins,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
dexed,Dexed,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/dexed-linux64.tar.xz,lv2,Dexed,,,,,,,,,Synth,https://distrho.sourceforge.io/,true,true,true
arctican-plugins,Arctican Plugins,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/arctican-plugins-linux64.tar.xz,lv2,Arctican,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
drowaudio-plugins,dRowAudio Plugins,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/drowaudio-plugins-linux64.tar.xz,lv2,dRowAudio,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
easyssp,EasySSP,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/easyssp-linux64.tar.xz,lv2,EasySSP,,,,,,,,,Utility,https://distrho.sourceforge.io/,true,true,true
juce-opl,JuceOPL,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/juce-opl-linux64.tar.xz,lv2,JuceOPL,,,,,,,,,Synth,https://distrho.sourceforge.io/,true,true,true
juced-plugins,Juced Plugins,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/juced-plugins-linux64.tar.xz,lv2,Juced,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
klangfalter,KlangFalter,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/klangfalter-linux64.tar.xz,lv2,KlangFalter,,,,,,,,,Convolution,https://distrho.sourceforge.io/,true,true,true
lufs-meter,LUFS Meter,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/lufsmeter-linux64.tar.xz,lv2,LUFSMeter,,,,,,,,,Metering,https://distrho.sourceforge.io/,true,true,true
luftikus,Luftikus,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/luftikus-linux64.tar.xz,lv2,Luftikus,,,,,,,,,EQ,https://distrho.sourceforge.io/,true,true,true
mverb,MVerb,1.1,https://github.com/DISTRHO/DPF-Plugins/releases/download/v1.1/mverb-linux64.tar.xz,lv2,MVerb,,,,,,,,,Reverb,https://distrho.sourceforge.io/,true,true,true
ndc-plugins,NDC Plugins,1.1,https://github.com/DISTRHO/DPF-Plugins/releases/download/v1.1/ndc-plugins-linux64.tar.xz,lv2,NDC,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
obxd,OBXD,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/obxd-linux64.tar.xz,lv2,Obxd,,,,,,,,,Synth,https://distrho.sourceforge.io/,true,true,true
pitched-delay,Pitched Delay,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/pitcheddelay-linux64.tar.xz,lv2,PitchedDelay,,,,,,,,,Delay,https://distrho.sourceforge.io/,true,true,true
stereo-source-separator,Stereo Source Separator,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/stereosourceseparation-linux64.tar.xz,lv2,StereoSourceSeparation,,,,,,,,,Utility,https://distrho.sourceforge.io/,true,true,true
tal-plugins,TAL Plugins,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/tal-plugins-linux64.tar.xz,lv2,TAL-Plugins,,,,,,,,,Plugin Suite,https://distrho.sourceforge.io/,true,true,true
vex,Vex,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/vex-linux64.tar.xz,lv2,Vex,,,,,,,,,Synth,https://distrho.sourceforge.io/,true,true,true
wolpertinger,Wolpertinger,2018-04-16,https://github.com/DISTRHO/DISTRHO-Ports/releases/download/2018-04-16/wolpertinger-linux64.tar.xz,lv2,Wolpertinger,,,,,,,,,Synth,https://distrho.sourceforge.io/,true,true,true
tentacles,Tentacles,,https://pilcaki.github.io/sunbunny/plugins/tentacles/,vst3,Tentacles,,,,,,,,,Vibrato,https://pilcaki.github.io/sunbunny/plugins/tentacles/,false,false,true
